NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
16143,673.8084,4252.6025,220.5669907,+40.0210068,0.8153708,0.8665072,0,9
16144,5226.5728,4220.3320,220.1541518,+40.0185074,7.831084,2.659205,0,96
16145,2930.4548,4247.7559,220.3623557,+40.0207252,1.397761,1.129426,2,12
16146,5030.6611,4250.0947,220.1719084,+40.0206155,1.117469,1.011494,0,12
16147,1983.8322,4205.0073,220.4481956,+40.0177773,7.23467,2.556183,0,50
16148,5060.6655,4242.7358,220.1691896,+40.0200983,1.003047,0.9591772,0,46
16149,990.7096,4243.7441,220.5382528,+40.0204211,1.616023,1.213364,0,66
16150,665.4717,4255.9722,220.5677471,+40.0212399,0.5550698,0.7186127,0,6
16151,3633.0164,4256.0161,220.2986459,+40.0212425,0.5752916,0.7311728,0,9
16152,451.0744,4255.9458,220.5871889,+40.0212140,0.8608413,0.8898824,0,10
16153,3295.3538,4251.7212,220.3292660,+40.0209757,1.204276,1.04942,0,49
16154,7545.4014,4257.1333,219.9438757,+40.0203683,1.062937,0.9868851,0,12
16155,7604.0005,4247.5034,219.9385671,+40.0196771,1.524321,1.178793,0,8
16156,4633.6499,4256.6675,220.2079076,+40.0211473,0.8535944,0.886197,0,9
16157,3739.4253,4250.5142,220.2889975,+40.0208489,1.883477,1.308877,2,10
16158,6201.2197,4249.8057,220.0657643,+40.0203084,1.418782,1.137768,2,35
16159,5292.2505,4242.4585,220.1481900,+40.0200295,2.562926,1.524899,0,45
16160,3304.8308,4255.6558,220.3284062,+40.0212482,0.9946034,0.9551948,0,21
16161,4682.6768,4260.6641,220.2034609,+40.0214161,0.7500136,0.831908,1,9
16162,3722.9744,4249.0400,220.2904894,+40.0207484,1.256278,1.071517,2,11
16163,2985.6033,4247.9551,220.3573548,+40.0207359,1.6012,1.207838,0,104
16164,1872.9009,4229.4307,220.4582551,+40.0194717,3.273476,1.722039,0,52
16165,952.0557,4250.9268,220.5417588,+40.0209167,1.174607,1.036607,0,14
16166,3186.9531,4251.9673,220.3390959,+40.0210012,1.088796,0.998631,0,10
16167,5719.3389,4261.3208,220.1094563,+40.0212380,0.4267663,0.6331328,0,9
16168,4309.0703,4245.1890,220.2373430,+40.0204035,2.139388,1.394179,0,11
16169,2374.2627,4247.1895,220.4127916,+40.0207058,1.794955,1.278042,0,22
