_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
220.51472800,+39.70300900,220.514728,+39.703009,1,,3,J144203.53+394210.8,,2003.2317,3,24.513,0.787,25.566,0.466,23.424,0.333,22.320,0.195,22.068,0.434,,0.8811,0.0461,0.5773
220.52229500,+39.70890500,220.522295,+39.708905,1,+,3,J144205.35+394232.0,*,2003.2317,3,25.537,1.022,21.534,0.076,19.917,0.029,19.157,0.023,18.794,0.055,0.45111,0.4389,0.0304,0.4401
220.52031500,+39.70745300,220.520315,+39.707453,1,+,3,J144204.87+394226.8,,2003.2317,3,24.666,0.942,23.586,0.297,21.311,0.066,20.738,0.060,20.224,0.128,,0.3444,0.0443,0.4105
220.52107200,+39.71011400,220.521072,+39.710114,1,+,6,J144205.05+394236.4,,2003.2317,3,24.909,0.709,24.455,0.410,23.055,0.231,23.111,0.336,22.078,0.403,,,,
220.52830300,+39.71500900,220.528303,+39.715009,1,,6,J144206.79+394254.0,,2003.2317,3,24.118,0.715,23.336,0.203,23.094,0.253,22.205,0.175,22.003,0.417,,,,
220.50893100,+39.72937100,220.508931,+39.729371,1,+,3,J144202.14+394345.7,,2003.2317,3,24.229,1.157,23.453,0.341,22.002,0.153,21.927,0.215,21.837,0.598,,0.3943,0.0933,0.3977
220.51081800,+39.72423700,220.510818,+39.724237,1,+,3,J144202.59+394327.2,,2003.2317,3,25.473,0.600,23.700,0.272,22.343,0.137,21.653,0.110,21.613,0.327,,0.4229,0.0864,0.4457
220.52059800,+39.72566700,220.520598,+39.725667,1,+,3,J144204.94+394332.3,,2003.2317,3,25.132,0.794,23.464,0.250,22.669,0.201,22.119,0.183,21.682,0.382,,0.6395,0.1657,0.5100
220.51790300,+39.70066400,220.517903,+39.700664,1,+,6,J144204.29+394202.3,,2003.2317,3,23.688,0.553,23.705,0.257,23.001,0.226,22.317,0.181,22.066,0.411,,,,
220.51501800,+39.70721100,220.515018,+39.707211,1,,3,J144203.60+394225.9,,2003.2317,3,23.471,0.551,25.555,0.525,23.929,0.521,21.884,0.148,21.213,0.268,,-9999.0000,-9999.0000,0.6847
220.52455100,+39.71367400,220.524551,+39.713674,1,,3,J144205.89+394249.2,,2003.2317,3,24.929,1.306,24.394,0.724,22.562,0.276,21.445,0.153,21.174,0.402,,0.5626,0.0462,0.5914
220.51078300,+39.70679900,220.510783,+39.706799,1,,3,J144202.58+394224.4,,2003.2317,3,23.463,0.698,22.942,0.204,24.255,0.790,24.560,0.901,21.436,0.411,,-9999.0000,-9999.0000,0.4371
220.40327000,+39.65690200,220.403270,+39.656902,1,+,3,J144136.78+393924.8,,2003.2317,3,23.058,0.347,22.508,0.097,21.827,0.084,21.675,0.105,21.631,0.308,,0.3480,0.1067,0.3498
220.40931700,+39.66547300,220.409317,+39.665473,1,+,3,J144138.23+393955.7,,2003.2317,3,22.156,0.390,21.880,0.133,21.240,0.117,21.560,0.238,21.421,0.677,,0.5013,0.0853,0.3232
220.40995900,+39.65895200,220.409959,+39.658952,1,+,3,J144138.39+393932.2,,2003.2317,3,23.002,0.358,22.492,0.103,21.708,0.080,21.631,0.109,21.829,0.383,,0.5366,0.1148,0.3066
220.41517100,+39.65489200,220.415171,+39.654892,1,+,6,J144139.64+393917.6,,2003.2317,3,22.481,0.208,22.088,0.065,21.833,0.079,21.632,0.092,21.322,0.224,,,,
220.36006600,+39.65326700,220.360066,+39.653267,1,+,6,J144126.41+393911.7,*,2003.2260,3,22.320,0.251,19.415,0.011,18.036,0.007,17.242,0.006,16.831,0.011,,,,
220.34686600,+39.64918100,220.346866,+39.649181,1,+,3,J144123.24+393857.0,*,2003.2260,3,23.204,0.527,22.809,0.142,22.242,0.145,22.210,0.198,22.769,0.737,,0.3987,0.1088,0.1957
220.34651200,+39.64308200,220.346512,+39.643082,1,+,3,J144123.16+393835.0,,2003.2260,3,25.813,0.813,21.542,0.066,20.084,0.031,19.501,0.026,19.153,0.078,,0.3229,0.0449,0.3129
220.35730400,+39.64446200,220.357304,+39.644462,1,+,3,J144125.75+393840.0,*,2003.2260,3,22.632,0.472,21.027,0.046,20.638,0.053,20.296,0.057,20.302,0.235,,0.1101,0.0473,0.1424
